site,author,game,score,score_adj,stars_mean,company,platform,genre,score_deviation
meristation,Rubén Vázquez,Peaky Blinders: Mastermind,5.7,2.85,3.0,Curve Digital,PC PS4 XBO NSW,"Aventura, Puzle                    ",5.263157894736839
meristation,Alejandro Castillo - @acastillo117,Tony Hawk's Pro Skater 1+2,8.5,4.25,3.8,Activision,PC XBO PS4 PS5 XBS NSW,Deportes                    ,-10.58823529411765
Vandal,Jorge Cano,Observer: System Redux - Análisis,7.8,3.9,3.5,Bloober Team,Xbox Series X/S PC PS5,Aventura narrativa Terror,-10.256410256410255
meristation,"Rocío Torrejón
SeraPhiim_",Skul: The Hero Slayer,8.3,4.15,4.14,Neowiz,PC NSW,"Plataformas, Acción                    ",-0.24096385542170298
Gamereactor,Alberto Garrido,Baldur's Gate III - Análisis Early Access,8.0,4.0,3.6,None," PC, Stadia",RPG,-9.999999999999998
revogamers,Marcos Catalán,Análisis de WWE 2K Battlegrounds,7.0,3.5,3.0,Saber Interactive,Nintendo Switch,"Arcade, Deportes, Lucha",-14.285714285714285
Vandal,Sergio Martín,Curse of the Dead Gods - Análisis,7.4,3.7,3.6,Focus Home Interactive,PC PS4 Xbox One Switch,Roguelike Rol,-2.702702702702705
Vandal,Carlos Leiva,Pikmin 3 Deluxe - Análisis,8.5,4.25,4.0,Nintendo,Switch,Aventura de acción Estrategia en tiempo real,-5.88235294117647
Vandal,Carlos Leiva,Monster Hunter Rise - Análisis,9.2,4.6,4.23,Nintendo,Switch PC,Action-RPG Aventura de acción,-8.043478260869549
meristation,"Rocío Torrejón
SeraPhiim_",TOHU,6.5,3.25,3.5,The Irregular Corporation,XBO PC PS4 NSW STD,Aventura                    ,7.6923076923076925
Gamereactor,Marco Vrolijk,Age of Empires II: Definitive Edition - Lords of the West,9.0,4.5,4.2,Microsoft, PC,Estrategia,-6.6666666666666625
meristation,Yago Lago,Chronicle of Innsmouth Mountains of Madness,7.0,3.5,3.43,PsychoDev,PC,Aventura gráfica                    ,-1.9999999999999956
meristation,"Sergio C. González
Sergio5Glez",Pokémon Espada / Pokémon Escudo: Las nieves de la corona,8.0,4.0,3.5,Nintendo,NSW,"RPG, Por turnos                    ",-12.5
Gamereactor,André Wigert,"Call of the Sea (Xbox Series X, PC)",8.0,4.0,3.8,Raw Fury," PC, Xbox Series X",Acción,-5.000000000000004
