site,author,game,score,score_adj,stars_mean,company,platform,genre,score_deviation
revogamers,José Moreno,Análisis de Horace,8.0,4.0,3.75,None,Nintendo Switch,None,-6.25
3D Juegos,Fco. Javier Bella,GTI Club Supermini Festa - Análisis,5.9,2.95,3.25,None,Wii PSP,None,10.169491525423723
revogamers,Arturo Albero,Nights of Azure 2: Bride of the New Moon,3.5,1.75,3.25,None,Nintendo Switch,None,85.71428571428571
Vandal,Jorge Cano,BattleBlock Theater - Análisis,8.5,4.25,4.0,The Behemoth,PC Xbox 360,Plataformas 2D Plataformas,-5.88235294117647
Gamereactor,Mike Holmes,Spelunky 2 - Hasta la muerte,10.0,5.0,3.75,None," PC, PS4",Plataformas,-25.0
revogamers,José Moreno,Análisis de More Dark,7.5,3.75,3.75,None,Nintendo Switch,None,0.0
3D Juegos,Alejandro Pascual,Persona Q2 : New Cinema Labyrinth - Análisis,8.5,4.25,3.86,None,3DS,None,-9.176470588235297
revogamers,Cac12,Lovers in a Dangerous Spacetime,8.0,4.0,3.75,None,Nintendo Switch,None,-6.25
meristation,"Francisco Alberto Serrano
faserranoacosta",Loop Hero,8.2,4.1,3.44,Devolver Digital,PC,"Estrategia, RPG                    ",-16.097560975609753
Vandal,Alberto González,Robocop - Análisis,5.0,2.5,3.67,Glu Mobile,iPhone Android,Acción,46.8
